index,block_hash,K,C
0,000000000000000000029730547464f056f8b6e2e0a02eaf69c24389983a04f5,b59f8d1ddbd8b0ccedd42a0c26d20da976a07a20734e8c4552461019f2235e70,e4e68b6a5ac2edffcae2110057957f46110344c67e148c409f53118d0495f889
1000,00000000000000000001f9dcea492bc2b710406d3234dead3912a41b14dc598e,1a5cf165db67decf2db6797a5cc2772d649a4ba5d29a12feed0a4607a4fdd5e9,27fb0f09862b6f9c876d949bd9f6205d57103bf524ec0d54aa9a0548bbcb2609
2000,0000000000000000000166a41d2bc1ef47d256d4ab9211190c6b3a237fceb13e,7406ad05c444b39bcf32aeab25f0ec1e4cca3e5399cd4a260746b24fcb342554,913f6085bbd6f550f8fbb9d4d8fbb1067f32b0ec93664d2a8625fef97aa4b307
3000,000000000000000000069779f2b6cf0ac9b7f94a24e4544ab0146fca21633fe6,28995377a2e108989b080b4c7ba434c2a5a5b18a3e77c2192f69dd5c1a0576d6,6c9af987bb5583a3ee1bed024e8ed364be33ef8a3417b2907607faa35e704ecb
4000,00000000000000000005c05909f4a327fb86a6446d677ed2e287443d4fd69ae6,b02db24ee9f80b0e818a3a18dc134cb35df963ec5a9f5f83a53107575014f0e2,8d2b2767fa9c13de3b75468b20412a6faaeeba65efd1d09b4a9e6859c99b420a
5000,00000000000000000005328096cd231ad6e44303406c4cb13777373c05d19862,b56402679c91dd5787c510a38721d7b255f0dcb51cd732d0a2b5c754d8d45af8,8ac6994d5b17c7c770509077390e541e1142ff16e017e17b905e81156b546b36
6000,000000000000000000065d9bfa7c98241175c4bd8c1e629d359ba2beb45697ce,b7be730e0f732830d0c5daa895fcc9e4c57a428a4fd2efb9604c1e8f15fc248e,b058024ecfebdbb7b0228a94c9609da136fde7ea525e6f5ad35e6c2c86838bc3
7000,000000000000000000023ee9596306a4779ddbc199a44d4f26354e68d0874a50,590ab5ace88cf55aab60f32da1749cb2e47a2f2d5975cfcc3e3fb99b3360601c,5fcfbbf187d9c2255e11fab36ad4993cca5d6daa9b5d2305970747bc64022646
8000,00000000000000000002d2995fe3bec9fb70edac841dd8d4314c9913acf01fdb,ba02ec723f4c5002872c06b805c6ba2e3333286afa974326711c94acd3915f0f,8029e0899959d07dc2fcbaa1315ad8580f2ad4b75b03c99db5a62ef6e460c05a
9000,00000000000000000002cd9e51c5dc8aabec69d8df9e8c7cc52bd06e0cb98daf,08923a36aa0fa037b5b709b2d3e970309f0f1a442acd74af12c9b2d55f07a1d0,77888e0e2ed1ccd150b653116768876566e0ebb82029087771e5560d91d04e16
10000,00000000000000000003070892cabf32f31442a08661a980da2251f04f9fc0dd,5b414d61cd2148241a5cc88f754007204788a21badd8a83e16644d25dce681c4,1f519547ae24d9f31e704351214d0b8624b86e90a8afb8abd1f928ceb92db399
11000,00000000000000000005731be026addc1ede1889e3fb9bd0771291eab9e6da57,b58f04c25c619dcf6085a80767c10b4f99be9b0e9f39ff73c4d055d8bf442a2c,17bd0cd23926a6656b8a5566d62de1d33c132f39f21d94674bacf99fc57c19c6
12000,000000000000000000033aae2b6062cdf3c5364ffe04c17b716efae523b1a79f,4f059ae2044a491da29cccd7a3270c0e49f659fb78545f7881017b2753d6aa00,e1a29f568525db45ead10e55605aa04d57d4c628e517c6467edbb76e21bc5889
